assumed_danger_states_new,Home_Plate_Control,Rink_Control,Max_Success,Max_Best,Max_Exp,Max_Player_Success,Max_Player_Best,Max_Player_Exp,Mean_Player_Success,Mean_Player_Best,Mean_Player_Exp,All_Avg_Edge,O_Avg_Edge,D_Avg_Edge,All_Avg_Edges per Player,O_Avg_Edges_per_Player,D_Avg_Edges per Player,OD_MST_Ratio,All_OCR,distance_to_net,angle_to_attacking_net,goal_diff,on_ice_woman_diff,woman_adv,split
0,-0.775281313,-0.417410221,0.17394983,0.012173886,0.004196047,0.153757269,0.008026171,0.003793519,0.153757269,0.008026171,0.003793519,12.68669289397106,25.426174333146523,12.99835928667772,1.6666666666666667,1,1.6,1.9561064417727183,0.6,35.72464136,173.5712523,0,-3,1,0
0,-0.137801556,0.323503246,0.695620629,0.038746937,0.069379784,0.613144388,0.038746937,0.0678846,0.312198008,0.020590462,0.031025526,14.134405171762808,24.21018605625906,14.079408244135983,1.7777777777777777,1.6,1.6,1.7195457107611398,0.75,48.41745553,144.6686687,0,0,1,0
1,-0.205563975,0.177664173,0.462435373,0.031123742,0.032817161,0.258112751,0.02598451,0.02819856,0.183670313,0.015289052,0.012317109,14.011833980187452,25.245764701085054,12.590869823643205,1.7777777777777777,1.6,1.6,2.005085038182066,0.75,41.58425183,161.7829048,0,0,1,0
1,0.058052465,0.321744691,0.741034752,0.030432536,0.036345757,0.683847961,0.017807028,0.032519701,0.37948857,0.011312471,0.019042816,14.474767886541288,25.98865751104144,17.462535891244123,1.7777777777777777,1.6,1.6,1.488252203053303,0.875,64.27480066,113.3741644,0,0,1,0
1,0.138706274,0.090045123,0.429536061,0.047263494,0.050201482,0.199146748,0.046097797,0.017131855,0.169649468,0.03287562,0.006394208,15.171424986823869,22.851883798314176,19.2098888633981,1.75,1.5,1.6,1.189589589029607,0.7142857142857143,51.53882032,75.96375653,0,-1,1,1
1,0.032186303,-0.266469008,0.504061828,0.013874362,0.047537741,0.406586055,0.013708591,0.043069223,0.299171247,0.010271357,0.042462383,11.430748922689917,14.71725614967048,14.509419836216226,1.7142857142857142,1.3333333333333333,1.6,1.0143242332085178,0.8333333333333334,21.73131381,66.97450799,0,-2,1,1
0,-0.595667082,-0.13747513,0.224531439,0.022336685,4.35e-7,0.223654789,0.022187078,-0.018906306,0.223654789,0.022187078,-0.018906306,12.29322497624749,26.69238972539158,12.478507895113866,1.6666666666666667,1,1.6,2.1390690257000484,0.8,41.40350227,42.55295136,0,-3,1,0
1,-0.472124577,0.284626328,0.920263091,0.024131459,0.035105279,0.915156431,0.022802498,0.021310189,0.465051629,0.008187376,0.004886267,15.200687967954098,31.0771479866619,12.004968289678402,1.75,1.5,1.6,2.588690551842717,0.7142857142857143,56.5,82.37185033,0,-1,1,0
1,-0.564261167,0.160227046,0.9824159,0.024680001,0.056128729,0.951530183,0.024368776,0.055845643,0.680839921,0.010652066,0.035154998,16.85728357251946,28.367976194416126,14.257634257516653,1.75,1.5,1.6,1.9896692313776023,0.5714285714285714,56.47344509,69.80019338,0,-1,1,0
1,-0.590977094,0.392477265,0.952968422,0.02228028,0.11849535,0.952968422,0.008963841,0.113760796,0.355705943,0.007366346,0.025056811,15.810725624665166,27.213980269984237,15.36754385822852,1.7777777777777777,1.6,1.6,1.7708737662338,0.75,59.60914359,81.80193115,0,0,1,0
1,-0.255260185,-0.00202362,0.151001189,0.033284039,0.002240931,0.092303206,0.0321633,9.48853e-4,0.058048275,0.015645365,-0.007003857,10.876030046011886,21.997850604469676,12.343799487548624,1.75,1.5,1.6,1.7820972081294126,0.7142857142857143,35.51408171,125.2563587,0,-1,1,1
